Each set of data will be proceeded by a header in square brackets: [].

[DESCRIPTION]
notableTrait,knownFor,calamity
a population of mostly wealthy people,flowers,being besieged by enemies

[PEOPLE]
Id,FirstName,LastName,Caste,RaceFrequency,Race,Age,Gender,Family,Spouse,Appearance,Strength,Weakness,Talent,Manuerism,Interaction,GoodOrEvilIdeal,LawfulOrChaoticIdeal,NeutralOrOtherIdeal,Bond,FlawOrSecret,RaceAge,ownedBusiness,worksAt
"15","LIISI","PARRY","Mercantile","Uncommon","Dwarf","63","Female","PARRY [10]","","Unusual hair color","Intelligence - studious, learned, inquisitive","Wisdom - oblivious, absentminded","Great at impersonations","Speaks in rhyme or some other peculiar way","Ponderous","Beauty or Domination","Tradition or Whimsy","People or Self-knowledge","Protective of a sentimental keepsake","Forbidden love or susceptibility to romance","175","",""
"16","GEORGINA","KENDRICK","Mercantile","Common","Human","25","Female","KENDRICK [9]","DANI KENDRICK","Pronounced scar","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Great at solving puzzles","Stares into the distance","Blustering","Life or Pain","Responsibility or No limits","Live and let live or Glory","Drawn to a special place","Arrogance","25","",""
"17","KLIMENT","MCFARLAND","Mercantile","Rare","Elf","39","Male","MCFARLAND [11]","","Ragged, dirty clothes","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Perfect memory","Squints","Ponderous","Greater good or Might","Responsibility or No limits","Live and let live or Glory","Protective of a sentimental keepsake","Specific phobia","216","",""
"18","FONS","FORESTIER","Mercantile","Rare","Elf","11","Male","FORESTIER [305]","","","","","","","","","","","","","61","",""
"19","GRIGOR","HALVORSEN","Mercantile","Uncommon","Dwarf","28","Male","HALVORSEN [12]","","Distinctive jewelry: earrings, necklace, circlet, bracelets","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Great with children","Prone to predictions of doom","Blustering","Respect or Retribution","Honor or Freedom","Knowledge or Discovery","Dedicated to fulfilling a personal life goal","Prone to rage","77","",""
"20","BORGHILD","ROSENFELD","Mercantile","Common","Human","51","Female","ROSENFELD [8]","RORY ROSENFELD","Piercings","Wisdom - perceptive, spiritual, insightful","Intelligence - dim-witted, slow","Sings beautifully","Stares into the distance","Hot tempered","Self-sacrifice or Slaughter","Responsibility or No limits","People or Self-knowledge","Dedicated to fulfilling a personal life goal","Envies another creature’s possessions or station","51","",""
"21","ANNIINA","WRONA","Mercantile","Common","Human","12","Female","WRONA [306]","","Flamboyant or outlandish clothes","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Great at one game","Prone to predictions of doom","Hot tempered","Self-sacrifice or Slaughter","Honor or Freedom","Balance or Aspiration","Drawn to a special place","Possession of forbidden lore","12","",""
"22","JUSSI","KOVAC","Mercantile","Common","Human","11","Male","KOVAC [307]","","","","","","","","","","","","","11","",""
"23","BARTHOLOMEW","BOSCH","Tradesmen","Common","Human","21","Male","BOSCH [13]","MARYA BOSCH","Birthmark","Strength - powerful, brawny, strong as an ox","Dexterity - clumsy, fumbling","Knows thieves’ cant","Enunciates overly clearly","Ponderous","Life or Pain","Honor or Freedom","Moderation or Nation","Drawn to a special place","Foolhardy bravery","21","BARTHOLOMEW'S STORE ROOM",""
"24","MARYA","BOSCH","Tradesmen","Common","Human","22","Female","BOSCH [13]","BARTHOLOMEW BOSCH","Birthmark","Intelligence - studious, learned, inquisitive","Constitution - sickly, pale","Skilled dancer","Paces","Blustering","Self-sacrifice or Slaughter","Fairness or Creativity","Moderation or Nation","Protective of a valuable possession","Foolhardy bravery","22","BARTHOLOMEW'S STORE ROOM",""
"25","ELIGIUSZ","CLEMENSEN","Tradesmen","Common","Human","31","Male","CLEMENSEN [14]","ANNIS CLEMENSEN","Exceptionally ugly","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Unbelievably lucky","Uses colorful oaths and exclamations","Rude","Self-sacrifice or Slaughter","Responsibility or No limits","Balance or Aspiration","Loyal to a benefactor, patron, or employer","Secret crime or misdeed","31","ELIGIUSZ'S PASTRY SHOP",""
"26","ANNIS","CLEMENSEN","Tradesmen","Common","Human","21","Female","CLEMENSEN [14]","ELIGIUSZ CLEMENSEN","Unusual skin color","Wisdom - perceptive, spiritual, insightful","Strength - feeble, scrawny","Expert carpenter","Uses colorful oaths and exclamations","Irritable","Charity or Greed","Logic or Independence","Moderation or Nation","Captivated by a romantic interest","Shameful or scandalous history","21","ELIGIUSZ'S PASTRY SHOP",""
"27","DOMITILLA","BUCHANAN","Tradesmen","Uncommon","Half-Elf","32","Female","BUCHANAN [15]","RHYDDERCH BUCHANAN","Nervous eye twitch","Charisma - persuasive, forceful, born leader","Dexterity - clumsy, fumbling","Great with children","Squints","Argumentative","Charity or Greed","Community or Change","Live and let live or Glory","Captivated by a romantic interest","Forbidden love or susceptibility to romance","35","THE STURDY BOLT",""
"28","RHYDDERCH","BUCHANAN","Tradesmen","Common","Human","28","Male","BUCHANAN [15]","DOMITILLA BUCHANAN","Unusual skin color","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Skilled dancer","Uses colorful oaths and exclamations","Quiet","Respect or Retribution","Logic or Independence","Neutrality or Redemption","Protective of a sentimental keepsake","Has a powerful enemy","28","THE STURDY BOLT",""
"29","ABIGAIL","RAYNE","Tradesmen","Common","Human","18","Female","RAYNE [16]","ALDEN RAYNE","Piercings","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Drinks everyone under the table","Bites fingernails","Honest","Self-sacrifice or Slaughter","Tradition or Whimsy","Live and let live or Glory","Protective of close family members","Enjoys decadent pleasures","18","CHOP & BLADE",""
"30","ANNUSHKA","BIEBER","Tradesmen","Common","Human","20","Female","BIEBER [17]","ADDY BIEBER","Formal, clean clothes","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Great at solving puzzles","Twirls hair or tugs beard","Argumentative","Beauty or Domination","Fairness or Creativity","Balance or Aspiration","Protective of close family members","Enjoys decadent pleasures","20","ANNUSHKA'S MARKET",""
"31","ADRIA","MONET","Tradesmen","Common","Human","35","Female","MONET [18]","ANASTAS MONET","Birthmark","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Speaks several languages fluently","Taps fingers","Suspicious","Beauty or Domination","Community or Change","Live and let live or Glory","Loyal to a benefactor, patron, or employer","Overpowering greed","35","ADRIA'S HERB GATHERING",""
"32","EVY","REGENBOGEN","Tradesmen","Common","Human","58","Female","REGENBOGEN [19]","DUBHGHLAS REGENBOGEN","Unusual skin color","Dexterity - lithe, agile, graceful","Strength - feeble, scrawny","Draws beautifully","Particularly low or high voice","Honest","Charity or Greed","Fairness or Creativity","Live and let live or Glory","Drawn to a special place","Envies another creature’s possessions or station","58","EVY'S RANCH",""
"33","LINNEA","KRANZ","Tradesmen","Uncommon","Half-Elf","30","Female","KRANZ [20]","LEO KRANZ","Distinctive jewelry: earrings, necklace, circlet, bracelets","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Drinks everyone under the table","Uses colorful oaths and exclamations","Quiet","Life or Pain","Responsibility or No limits","Knowledge or Discovery","Protective of a sentimental keepsake","Forbidden love or susceptibility to romance","33","LINNEA'S FALCONRY",""
"34","BENEDYKTA","REGENBOGEN","Tradesmen","Common","Human","21","Female","REGENBOGEN [19]","","Piercings","Strength - powerful, brawny, strong as an ox","Dexterity - clumsy, fumbling","Draws beautifully","Chews something","Ponderous","Greater good or Might","Tradition or Whimsy","Neutrality or Redemption","Dedicated to fulfilling a personal life goal and Protective of colleagues or compatriots","Arrogance","21","","EVY'S RANCH"
"35","ANNIKEN","BUCHANAN","Tradesmen","Common","Human","6","Female","BUCHANAN [15]","","","","","","","","","","","","","6","",""
"36","BOUDEWIJN","GAJOS","Tradesmen","Uncommon","Dwarf","10","Male","GAJOS [27]","","","","","","","","","","","","","27","",""
"37","DUBHGHLAS","REGENBOGEN","Tradesmen","Common","Human","50","Male","REGENBOGEN [19]","EVY REGENBOGEN","Exceptionally beautiful","Intelligence - studious, learned, inquisitive","Wisdom - oblivious, absentminded","Great at one game","Prone to singing, whistling, or humming quietly","Hot tempered","Charity or Greed","Tradition or Whimsy","Moderation or Nation","Drawn to a special place","Prone to rage","50","EVY'S RANCH",""
"38","BRADY","MONET","Tradesmen","Common","Human","12","Male","MONET [18]","","Ragged, dirty clothes","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Knows thieves’ cant","Chews something","Curious","Greater good or Might","Tradition or Whimsy","Knowledge or Discovery","Protective of a sentimental keepsake","Possession of forbidden lore","12","","ADRIA'S HERB GATHERING"
"39","RACHEL","MATVEEV","Tradesmen","Common","Human","4","Female","MATVEEV [24]","","","","","","","","","","","","","4","",""
"40","EWAN","MASSON","Tradesmen","Common","Human","6","Male","MASSON [25]","","","","","","","","","","","","","6","",""
"41","ALDEN","RAYNE","Tradesmen","Common","Human","27","Male","RAYNE [16]","ABIGAIL RAYNE","Piercings","Charisma - persuasive, forceful, born leader","Dexterity - clumsy, fumbling","Drinks everyone under the table","Speaks in rhyme or some other peculiar way","Irritable","Self-sacrifice or Slaughter","Fairness or Creativity","Neutrality or Redemption","Protective of close family members","Forbidden love or susceptibility to romance","27","CHOP & BLADE",""
"42","JUSTINA","PRITCHARD","Tradesmen","Common","Human","23","Female","PRITCHARD [21]","ERLING PRITCHARD","Exceptionally ugly","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Paints beautifully","Speaks loudly","Quiet","Self-sacrifice or Slaughter","Logic or Independence","Moderation or Nation","Protective of a sentimental keepsake","Specific phobia","23","NEEDLE & GRAIN",""
"43","ANASTAS","MONET","Tradesmen","Common","Human","32","Male","MONET [18]","ADRIA MONET","Unusual eye color (or two different colors)","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Expert juggler","Squints","Curious","Beauty or Domination","Honor or Freedom","People or Self-knowledge","Out for revenge","Forbidden love or susceptibility to romance","32","ADRIA'S HERB GATHERING",""
"44","ESTERA","ANDREASSEN","Tradesmen","Rare","Gnome","27","Female","ANDREASSEN [22]","","Unusual eye color (or two different colors)","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Expert cook","Enunciates overly clearly","Suspicious","Life or Pain","Fairness or Creativity","Live and let live or Glory","Protective of a valuable possession and Out for revenge","Forbidden love or susceptibility to romance","60","ESTERA'S WARDROBE",""
"45","ADDY","SCHRADER","Tradesmen","Uncommon","Half-Elf","13","Female","SCHRADER [308]","","Birthmark","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Expert dart thrower and rock skipper","Uses colorful oaths and exclamations","Curious","Self-sacrifice or Slaughter","Fairness or Creativity","Moderation or Nation","Protective of close family members","Enjoys decadent pleasures","14","","BARTHOLOMEW'S STORE ROOM"
"46","ADDY","BIEBER","Tradesmen","Common","Human","26","Male","BIEBER [17]","ANNUSHKA BIEBER","Distinctive nose","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Expert dart thrower and rock skipper","Twirls hair or tugs beard","Arrogant","Self-sacrifice or Slaughter","Logic or Independence","Moderation or Nation","Captivated by a romantic interest","Forbidden love or susceptibility to romance","26","ANNUSHKA'S MARKET",""
"47","AOIBHE","ARGALL","Tradesmen","Common","Human","7","Female","ARGALL [30]","","","","","","","","","","","","","7","",""
"48","BENIGNO","ROBERT","Tradesmen","Common","Human","17","Male","ROBERT [41]","","Distinctive nose","Charisma - persuasive, forceful, born leader","Dexterity - clumsy, fumbling","Expert cook","Fidgets","Blustering","Life or Pain","Community or Change","People or Self-knowledge","Loyal to a benefactor, patron, or employer","Shameful or scandalous history","17","","ELIGIUSZ'S PASTRY SHOP"
"49","ASLAUG","TRAVERE","Tradesmen","Common","Human","21","Female","TRAVERE [23]","BALDWIN TRAVERE","Unusual eye color (or two different colors)","Constitution - hardy, hale, healthy","Dexterity - clumsy, fumbling","Sings beautifully","Frequently uses the wrong word","Friendly","Life or Pain","Tradition or Whimsy","People or Self-knowledge","Dedicated to fulfilling a personal life goal","Enjoys decadent pleasures","21","ASLAUG'S TANNERY",""
"50","LEO","KRANZ","Tradesmen","Uncommon","Half-Elf","37","Male","KRANZ [20]","LINNEA KRANZ","Bald","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Great with children","Twirls hair or tugs beard","Blustering","Charity or Greed","Honor or Freedom","People or Self-knowledge","Out for revenge","Possession of forbidden lore","41","LINNEA'S FALCONRY",""
"51","ALFREDA","MATVEEV","Tradesmen","Common","Human","40","Female","MATVEEV [24]","GENNADIY MATVEEV","Formal, clean clothes","Constitution - hardy, hale, healthy","Dexterity - clumsy, fumbling","Expert carpenter","Paces","Irritable","Greater good or Might","Community or Change","Balance or Aspiration","Out for revenge","Specific phobia","40","THE SLAUGHTERED BOAR",""
"52","MORVEN","MASSON","Tradesmen","Common","Human","26","Female","MASSON [25]","CORNELIS MASSON","Tattoos","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Expert dart thrower and rock skipper","Stares into the distance","Irritable","Charity or Greed","Fairness or Creativity","Live and let live or Glory","Protective of a valuable possession","Overpowering greed","26","THE BLESSED SPIRIT SHRINE",""
"53","HEGE","CECIL","Tradesmen","Common","Human","18","Female","CECIL [26]","OLIVER CECIL","Flamboyant or outlandish clothes","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Great with children","Prone to singing, whistling, or humming quietly","Hot tempered","Greater good or Might","Fairness or Creativity","People or Self-knowledge","Out for revenge","Specific phobia","18","THE DRUNKEN EDGE",""
"54","EGBERT","VINTER","Tradesmen","Common","Human","14","Male","VINTER [34]","","Distinctive jewelry: earrings, necklace, circlet, bracelets","Intelligence - studious, learned, inquisitive","Wisdom - oblivious, absentminded","Perfect memory","Twirls hair or tugs beard","Quiet","Greater good or Might","Honor or Freedom","Neutrality or Redemption","Out for revenge","Possession of forbidden lore","14","","THE STURDY BOLT"
"55","JUSTINA","GAJOS","Tradesmen","Common","Human","33","Female","GAJOS [27]","GRISHA GAJOS","Missing teeth","Wisdom - perceptive, spiritual, insightful","Intelligence - dim-witted, slow","Knows thieves’ cant","Prone to predictions of doom","Suspicious","Respect or Retribution","Honor or Freedom","Moderation or Nation","Protective of a sentimental keepsake","Possession of forbidden lore","33","JUSTINA'S WORKSHOP",""
"56","EILWEN","RASPUTIN","Tradesmen","Uncommon","Dwarf","6","Female","RASPUTIN [28]","","","","","","","","","","","","","16","",""
"57","ALENA","RASPUTIN","Tradesmen","Uncommon","Dwarf","49","Female","RASPUTIN [28]","MAKAR RASPUTIN","Distinctive nose","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Great at one game","Paces","Argumentative","Self-sacrifice or Slaughter","Responsibility or No limits","Knowledge or Discovery","Loyal to a benefactor, patron, or employer","Enjoys decadent pleasures","136","RASPUTIN BREW CO",""
"58","NESKE","BERTRAND","Tradesmen","Common","Human","17","Female","BERTRAND [42]","","Exceptionally beautiful","Charisma - persuasive, forceful, born leader","Wisdom - oblivious, absentminded","Perfect memory","Paces","Curious","Respect or Retribution","Honor or Freedom","Balance or Aspiration","Dedicated to fulfilling a personal life goal","Secret crime or misdeed","17","","CHOP & BLADE"
"59","ANNE","BOWEN","Tradesmen","Uncommon","Half-Elf","18","Female","BOWEN [29]","ANGIOLO BOWEN","Braided beard or hair","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Paints beautifully","Taps fingers","Honest","Respect or Retribution","Fairness or Creativity","Balance or Aspiration","Dedicated to fulfilling a personal life goal and Drawn to a special place","Arrogance","20","","ANNUSHKA'S MARKET"
"60","ANNEKE","DAVIES","Tradesmen","Uncommon","Dwarf","14","Female","DAVIES [309]","","Formal, clean clothes","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Skilled actor and master of disguise","Uses colorful oaths and exclamations","Rude","Greater good or Might","Fairness or Creativity","Live and let live or Glory","Protective of close family members","Foolhardy bravery","38","","ANNUSHKA'S MARKET"
"61","ERMOLAI","ARGALL","Tradesmen","Common","Human","56","Male","ARGALL [30]","VICTORIA ARGALL","Distinctive posture (crooked or rigid)","Strength - powerful, brawny, strong as an ox","Wisdom - oblivious, absentminded","Expert carpenter","Stares into the distance","Quiet","Greater good or Might","Community or Change","Neutrality or Redemption","Captivated by a romantic interest","Prone to rage","56","","EVY'S RANCH"
"62","ELS","BECK","Tradesmen","Common","Human","12","Female","BECK [44]","","Piercings","Strength - powerful, brawny, strong as an ox","Constitution - sickly, pale","Expert dart thrower and rock skipper","Prone to singing, whistling, or humming quietly","Hot tempered","Beauty or Domination","Community or Change","Balance or Aspiration","Protective of a valuable possession","Secret crime or misdeed","12","","LINNEA'S FALCONRY"
"63","ERLING","PRITCHARD","Tradesmen","Uncommon","Dwarf","18","Male","PRITCHARD [21]","JUSTINA PRITCHARD","Birthmark","Strength - powerful, brawny, strong as an ox","Dexterity - clumsy, fumbling","Expert carpenter","Speaks in rhyme or some other peculiar way","Suspicious","Greater good or Might","Fairness or Creativity","Neutrality or Redemption","Drawn to a special place and Protective of colleagues or compatriots","Overpowering greed","50","NEEDLE & GRAIN",""
"64","GRISHA","GAJOS","Tradesmen","Uncommon","Dwarf","32","Male","GAJOS [27]","JUSTINA GAJOS","Distinctive jewelry: earrings, necklace, circlet, bracelets","Intelligence - studious, learned, inquisitive","Constitution - sickly, pale","Drinks everyone under the table","Squints","Ponderous","Self-sacrifice or Slaughter","Responsibility or No limits","People or Self-knowledge","Drawn to a special place","Specific phobia","88","JUSTINA'S WORKSHOP",""
"65","IRINA","HERMANS","Tradesmen","Uncommon","Half-Elf","13","Female","HERMANS [310]","","Exceptionally ugly","Strength - powerful, brawny, strong as an ox","Wisdom - oblivious, absentminded","Drinks everyone under the table","Speaks in rhyme or some other peculiar way","Quiet","Greater good or Might","Tradition or Whimsy","Live and let live or Glory","Captivated by a romantic interest","Has a powerful enemy","14","","LINNEA'S FALCONRY"
"66","KARCSI","BOSCH","Tradesmen","Common","Human","0","Male","BOSCH [13]","","","","","","","","","","","","","0","",""
"67","AAVA","MACKENZIE","Tradesmen","Uncommon","Half-Elf","39","Female","MACKENZIE [31]","GEOFFROI MACKENZIE","Ragged, dirty clothes","Charisma - persuasive, forceful, born leader","Intelligence - dim-witted, slow","Draws beautifully","Stares into the distance","Argumentative","Self-sacrifice or Slaughter","Responsibility or No limits","Knowledge or Discovery","Captivated by a romantic interest","Specific phobia","43","","NEEDLE & GRAIN"
"68","PHILOMENA","KONSTANTINOV","Tradesmen","Common","Human","23","Female","KONSTANTINOV [32]","HALDOR KONSTANTINOV","Tattoos","Constitution - hardy, hale, healthy","Dexterity - clumsy, fumbling","Perfect memory","Uses colorful oaths and exclamations","Hot tempered","Greater good or Might","Fairness or Creativity","Moderation or Nation","Dedicated to fulfilling a personal life goal","Possession of forbidden lore","23","","NEEDLE & GRAIN"
"69","CYRILLE","SUTHERLAND","Tradesmen","Common","Human","20","Female","SUTHERLAND [33]","LASSE SUTHERLAND","Exceptionally beautiful","Wisdom - perceptive, spiritual, insightful","Intelligence - dim-witted, slow","Paints beautifully","Squints","Blustering","Respect or Retribution","Responsibility or No limits","Neutrality or Redemption","Loyal to a benefactor, patron, or employer","Has a powerful enemy","20","","ESTERA'S WARDROBE"
"70","ANNAMARIA","KAUFMANN","Tradesmen","Common","Human","12","Female","KAUFMANN [45]","","Distinctive posture (crooked or rigid)","Strength - powerful, brawny, strong as an ox","Constitution - sickly, pale","Knows thieves’ cant","Prone to singing, whistling, or humming quietly","Friendly","Self-sacrifice or Slaughter","Responsibility or No limits","People or Self-knowledge","Drawn to a special place","Prone to rage","12","","ASLAUG'S TANNERY"
"71","MAKAR","RASPUTIN","Tradesmen","Uncommon","Dwarf","45","Male","RASPUTIN [28]","ALENA RASPUTIN","Braided beard or hair","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Sings beautifully","Whispers","Curious","Beauty or Domination","Community or Change","Live and let live or Glory","Protective of a sentimental keepsake","Arrogance","125","RASPUTIN BREW CO",""
"72","ABRAM","KRANZ","Tradesmen","Uncommon","Half-Elf","8","Male","KRANZ [20]","","","","","","","","","","","","","8","",""
"73","GENNADIY","MATVEEV","Tradesmen","Common","Human","36","Male","MATVEEV [24]","ALFREDA MATVEEV","Exceptionally beautiful","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Great with children","Uses colorful oaths and exclamations","Argumentative","Self-sacrifice or Slaughter","Logic or Independence","Moderation or Nation","Protective of colleagues or compatriots","Overpowering greed","36","THE SLAUGHTERED BOAR",""
"74","SYBILLA","VINTER","Tradesmen","Common","Human","34","Female","VINTER [34]","WILMOT VINTER","Pronounced scar","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Skilled dancer","Prone to singing, whistling, or humming quietly","Suspicious","Self-sacrifice or Slaughter","Honor or Freedom","People or Self-knowledge","Out for revenge and Protective of close family members","Arrogance","34","","THE SLAUGHTERED BOAR"
"75","ADOLPHE","DESROCHES","Tradesmen","Common","Human","14","Male","DESROCHES [47]","","Unusual skin color","Strength - powerful, brawny, strong as an ox","Constitution - sickly, pale","Expert cook","Frequently uses the wrong word","Hot tempered","Respect or Retribution","Responsibility or No limits","Live and let live or Glory","Loyal to a benefactor, patron, or employer","Foolhardy bravery","14","","THE SLAUGHTERED BOAR"
"76","BALDWIN","TRAVERE","Tradesmen","Common","Human","26","Male","TRAVERE [23]","ASLAUG TRAVERE","Nervous eye twitch","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Great with children","Paces","Friendly","Life or Pain","Community or Change","Moderation or Nation","Protective of a sentimental keepsake","Enjoys decadent pleasures","26","ASLAUG'S TANNERY",""
"77","DORETTA","HERMANS","Tradesmen","Common","Human","14","Female","HERMANS [54]","","Missing teeth","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Great at impersonations","Speaks in rhyme or some other peculiar way","Blustering","Self-sacrifice or Slaughter","Fairness or Creativity","Neutrality or Redemption","Protective of a valuable possession","Overpowering greed","14","","THE BLESSED SPIRIT SHRINE"
